Time,Year,Day,Link
11176,2015,1,https://adventofcode.com/2015/day/1
2624,2015,2,https://adventofcode.com/2015/day/2
1678,2015,3,https://adventofcode.com/2015/day/3
985,2015,4,https://adventofcode.com/2015/day/4
1665,2015,5,https://adventofcode.com/2015/day/5
1581,2015,6,https://adventofcode.com/2015/day/6
3732,2015,7,https://adventofcode.com/2015/day/7
1393,2015,8,https://adventofcode.com/2015/day/8
1883,2015,9,https://adventofcode.com/2015/day/9
727,2015,10,https://adventofcode.com/2015/day/10
1464,2015,11,https://adventofcode.com/2015/day/11
1541,2015,12,https://adventofcode.com/2015/day/12
1459,2015,13,https://adventofcode.com/2015/day/13
1564,2015,14,https://adventofcode.com/2015/day/14
1938,2015,15,https://adventofcode.com/2015/day/15
1095,2015,16,https://adventofcode.com/2015/day/16
1049,2015,17,https://adventofcode.com/2015/day/17
1781,2015,18,https://adventofcode.com/2015/day/18
13931,2015,19,https://adventofcode.com/2015/day/19
3837,2015,20,https://adventofcode.com/2015/day/20
2743,2015,21,https://adventofcode.com/2015/day/21
10985,2015,22,https://adventofcode.com/2015/day/22
1766,2015,23,https://adventofcode.com/2015/day/23
3362,2015,24,https://adventofcode.com/2015/day/24
947,2015,25,https://adventofcode.com/2015/day/25
2329,2016,1,https://adventofcode.com/2016/day/1
1150,2016,2,https://adventofcode.com/2016/day/2
727,2016,3,https://adventofcode.com/2016/day/3
1604,2016,4,https://adventofcode.com/2016/day/4
1052,2016,5,https://adventofcode.com/2016/day/5
376,2016,6,https://adventofcode.com/2016/day/6
1593,2016,7,https://adventofcode.com/2016/day/7
1375,2016,8,https://adventofcode.com/2016/day/8
1953,2016,9,https://adventofcode.com/2016/day/9
2197,2016,10,https://adventofcode.com/2016/day/10
9855,2016,11,https://adventofcode.com/2016/day/11
1090,2016,12,https://adventofcode.com/2016/day/12
1814,2016,13,https://adventofcode.com/2016/day/13
2530,2016,14,https://adventofcode.com/2016/day/14
762,2016,15,https://adventofcode.com/2016/day/15
810,2016,16,https://adventofcode.com/2016/day/16
1755,2016,17,https://adventofcode.com/2016/day/17
789,2016,18,https://adventofcode.com/2016/day/18
4807,2016,19,https://adventofcode.com/2016/day/19
1264,2016,20,https://adventofcode.com/2016/day/20
3176,2016,21,https://adventofcode.com/2016/day/21
5295,2016,22,https://adventofcode.com/2016/day/22
3339,2016,23,https://adventofcode.com/2016/day/23
3530,2016,24,https://adventofcode.com/2016/day/24
1487,2016,25,https://adventofcode.com/2016/day/25
368,2017,1,https://adventofcode.com/2017/day/1
373,2017,2,https://adventofcode.com/2017/day/2
1399,2017,3,https://adventofcode.com/2017/day/3
220,2017,4,https://adventofcode.com/2017/day/4
286,2017,5,https://adventofcode.com/2017/day/5
570,2017,6,https://adventofcode.com/2017/day/6
1521,2017,7,https://adventofcode.com/2017/day/7
502,2017,8,https://adventofcode.com/2017/day/8
697,2017,9,https://adventofcode.com/2017/day/9
1524,2017,10,https://adventofcode.com/2017/day/10
703,2017,11,https://adventofcode.com/2017/day/11
546,2017,12,https://adventofcode.com/2017/day/12
1306,2017,13,https://adventofcode.com/2017/day/13
1506,2017,14,https://adventofcode.com/2017/day/14
572,2017,15,https://adventofcode.com/2017/day/15
1597,2017,16,https://adventofcode.com/2017/day/16
951,2017,17,https://adventofcode.com/2017/day/17
2462,2017,18,https://adventofcode.com/2017/day/18
1084,2017,19,https://adventofcode.com/2017/day/19
1293,2017,20,https://adventofcode.com/2017/day/20
2691,2017,21,https://adventofcode.com/2017/day/21
1229,2017,22,https://adventofcode.com/2017/day/22
3281,2017,23,https://adventofcode.com/2017/day/23
1262,2017,24,https://adventofcode.com/2017/day/24
676,2017,25,https://adventofcode.com/2017/day/25
328,2018,1,https://adventofcode.com/2018/day/1
465,2018,2,https://adventofcode.com/2018/day/2
617,2018,3,https://adventofcode.com/2018/day/3
1297,2018,4,https://adventofcode.com/2018/day/4
620,2018,5,https://adventofcode.com/2018/day/5
1612,2018,6,https://adventofcode.com/2018/day/6
1852,2018,7,https://adventofcode.com/2018/day/7
730,2018,8,https://adventofcode.com/2018/day/8
1753,2018,9,https://adventofcode.com/2018/day/9
1009,2018,10,https://adventofcode.com/2018/day/10
972,2018,11,https://adventofcode.com/2018/day/11
1662,2018,12,https://adventofcode.com/2018/day/12
2665,2018,13,https://adventofcode.com/2018/day/13
1179,2018,14,https://adventofcode.com/2018/day/14
8597,2018,15,https://adventofcode.com/2018/day/15
